ability_1,ability_10,ability_11,ability_12,ability_13,ability_14,ability_15,ability_16,ability_17,ability_18,ability_19,ability_2,ability_20,ability_3,ability_4,ability_5,ability_6,ability_7,ability_8,ability_9,armor_class,challenge,charisma,condition_immunities,constitution,damage_immunities,damage_resistances,dexterity,hit_points,intelligence,languages,misc,name,saving_throws,senses,short_desc,skills,speed,strength,url,wisdom
Keen Smell.;; The troll has advantage on Wisdom (Perception) checks that rely on smell.,"||ADDENDUM||A severed arm has a speed of 5 feet and can make one claw attack on its turn, with disadvantage on the attack roll unless the troll can see the arm and its target. Each time the troll loses an arm, it loses a claw attack.","||ADDENDUM||If its head is severed, the troll loses its bite attack and its body is blinded unless the head can see it. The severed head has a speed of 0 feet and the troll’s Keen Smell trait. It can make a bite attack but only against a target in its space.","||ADDENDUM||The troll’s speed is halved if it’s missing a leg. If it loses both legs, it falls prone. If it has both arms, it can crawl. With only one arm, it can still crawl, but its speed is halved. With no arms or legs, its speed is 0, and it can’t benefit from bonuses to speed.",Multiattack.;; The troll makes three attacks: one with its bite and two with its claws.,"Bite.;; Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage.","Claw.;; Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.",,,,,"Regeneration.;; The troll regains 10 hit points at the start of its turn. If the troll takes acid or fire damage, this trait doesn’t function at the start of the troll’s next turn. The troll dies only if it starts its turn with 0 hit points and doesn’t regenerate.",,"Variant: Loathsome Limbs.;; Whenever the troll takes at least 15 slashing damage at one time, roll a d20 to determine what else happens to it:",||ADDENDUM||1-10: Nothing else happens.,||ADDENDUM||11-14: One leg is severed from the troll if it has any legs left.,||ADDENDUM||15- 18: One arm is severed from the troll if it has any arms left.,"||ADDENDUM||19-20: The troll is decapitated, but the troll dies only if it can’t regenerate. If it dies, so does the severed head.","||ADDENDUM||If the troll finishes a short or long rest without reattaching a severed limb or head, the part regrows. At that point, the severed part dies. Until then, a severed part acts on the troll’s initiative and has its own action and movement. A severed part has AC 13, 10 hit points, and the troll’s Regeneration trait.",||ADDENDUM||A severed leg is unable to attack and has a speed of 5 feet.,15 (natural armor),"5 (1,800 XP)",7 (-2),,20 (+5),,,13 (+1),84 (8d10+40),7 (-2),Giant,,Troll,,darkvision 60 ft.,"Large giant, chaotic evil",Perception +2,30 ft.,18 (+4),http://chisaipete.github.io/bestiary/creature/troll,9 (-1)
Chameleon Skin.;; The troglodyte has aadvantage on Dexterity (Stealth) checks made to hide.,,,,,,,,,,,"Stench.;; Any creature other than a ttroglodyte that starts its turn within 5 feet of the troglodyte must succeed on a DC 14 Constitution saving throw or be poisoned until the start of the creature’s next turn. On a successful saving throw, the creature is immune to the stench of all ttroglodytes for 1 hour.",,"Sunlight Sensitivity.;; While in sunlight, the troglodyte has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.",Multiattack.;; The troglodyte makes three attacks: one with its bite and two with either its claws or its greatclub.,"Bite.;; Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d4 + 4) piercing damage.","Claw.;; Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d4 + 4) slashing damage.","Greatclub.;; Melee Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) bludgeoning damage.","Acid Spray (Recharge 6).;; The troglodyte spits acid in a line 15 feet long and 5 feet wide. Each creature in that line must make a DC 14 Dexterity saving throw, taking 10 (3d6) acid damage on a failed save, or half as much damage on a successful one.",,14 (natural armor),3 (700 XP),12 (+1),,18 (+4),,,12 (+1),59 (7d8+28),8 (-1),Troglodyte,,Troglodyte Champion of Laogzed,,darkvision 60 ft.,"Medium humanoid (troglodyte), chaotic evil","Athletics +6, Intimidation +3, Stealth +3",30 ft.,18 (+4),http://chisaipete.github.io/bestiary/creature/troglodyte-champion-of-laogzed,23 (+6)
Chameleon Skin.;; The troglodyte has advantage on Dexterity (Stealth) checks made to hide.,,,,,,,,,,,"Stench.;; Any creature other than a troglodyte that starts its turn within 5 ft. of the troglodyte must succeed on a DC 12 Constitution saving throw or be poisoned until the start of the creature’s next turn. On a successful saving throw, the creature is immune to the stench of all troglodytes for 1 hour.",,"Sunlight Sensitivity.;; While in sunlight, the troglodyte has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.",Multiattack.;; The troglodyte makes three attacks: one with its bite and two with its claws.,"Bite.;; Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.","Claw.;; Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.",,,,11 (natural armor),1/4 (50 XP),6 (-2),,14 (+2),,,10 (0),13 (2d8+4),6 (-2),Troglodyte,,Troglodyte,,darkvision 60 ft.,"Medium humanoid (troglodyte), chaotic evil",Stealth +2,30 ft.,14 (+2),http://chisaipete.github.io/bestiary/creature/troglodyte,10 (0)
Axiomatic Mind.;; The tridrone can’t be compelled to act in a manner contrary to its nature or its instructions.,,,,,,,,,,,"Disintegration.;; If the tridrone dies, its body disintegrates into dust, leaving behind its weapons and anything else it was carrying.",,Multiattack.;; The tridrone makes three fist attacks or three javelin attacks.,"Fist.;; Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) bludgeoning damage.","Javelin.;; Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 4 (1d6 + 1) piercing damage.",,,,,15 (natural armor),1/2 (100 XP),9 (-1),,12 (+1),,,13 (+1),16 (3d8+3),9 (-1),Modron,,Tridrone,,truesight 120 ft.,"Medium construct, construct",,30 ft.,12 (+1),http://chisaipete.github.io/bestiary/creature/tridrone,10 (0)
"Trampling Charge.;; If the triceratops moves at least 20 ft. straight toward a creature and then hits it with a gore attack on the same turn, that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is prone, the triceratops can make one stomp attack against it as a bonus action.",,,,,,,,,,,"Gore.;; Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 24 (4d8 + 6) piercing damage.",,"Stomp.;; Melee Weapon Attack: +9 to hit, reach 5 ft., one prone creature. Hit: 22 (3d10 + 6) bludgeoning damage",,,,,,,13 (natural armor),"5 (1,800 XP)",5 (-3),,17 (+3),,,9 (-1),95 (10d12+30),2 (-4),,,Triceratops,,,"Huge beast, unaligned",,50 ft.,22 (+6),http://chisaipete.github.io/bestiary/creature/triceratops,11 (0)
Pack Tactics.;; The warrior has advantage on an attack roll against a creature if at least one of the warrior’s allies is within 5 ft. of the creature and the ally isn’t incapacitated.,,,,,,,,,,,"Spear.;; Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack.",,,,,,,,,12 (hide armor),1/8 (25 XP),8 (-1),,12 (+1),,,11 (0),11 (2d8+2),8 (-1),any one language,,Tribal Warrior,,,"Medium humanoid (any race), any alignment",,30 ft.,13 (+1),http://chisaipete.github.io/bestiary/creature/tribal-warrior,11 (0)
"Multiattack.;; The tri-flower frond uses its orange blossom, then its yellow blossom, and then its red blossom.",,,,,,,,,,,"Orange Blossom.;; The tri -flower frond chooses one creature it can see within 5 feet of it. The target must succeed on a DC 11 Constitution saving throw or be poisoned for 1 hour. While poisoned in this way, the target is unconscious. At the end of each minute, the poisoned target can repeat the saving throw, ending the effect on itself on a success.",,"Yellow Blossom.;; The tri-flower frond chooses one creature it can see within 5 feet of it. The target must succeed on a DC 11 Dexterity saving throw, or it is covered with corrosive sap and takes 5 acid damage at the start of each of its turns. Dousing the target with water reduces the acid damage by 1 point per pint or flask of water used.","Red Blossom.;; Melee Weapon Aitack: +2 to hit, reach 5 ft., one creature. Hit: 2 (ld4) piercing damage, and the target is grappled (escape DC 11). Until this grapple ends , the target takes 5 (2d4) poison damage at the start of each of its turns. The red blossom can grapple only one target at a time. Another creature within reach of the tri-flower frond can use its action to end the grapple on the target.",,,,,,10,1/2 (100 XP),1 (-5),"blinded, deafened, exhaustion, prone",12 (+1),,,10 (0),11 (2d8 +2),1 (-5),,,Tri-Flower Frond,,"blindsight 30 ft., passive Perception 10","Medium plant, unaligned",,5 ft.,1 (-5),http://chisaipete.github.io/bestiary/creature/tri-flower-frond,10 (0)
"Detect Invisibility.;; Within 50 feet of the tressym, magical invisibility fails to conceal anything from the tressym’s sight",,,,,,,,,,,Keen Smell.;; The tressym has advantage on Wisdom (Perception) checks that rely on smell.,,"Poison Sense.;; The tressym can detect whether a substance is poisonous by taste, touch, or smell.","Claws.;; Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 slashing damage.",,,,,,12,0 (10 XP),12 (+1),poisoned,10 (0),poison,,15 (+2),5 (2d4),11 (0),,,Tressym,,,"Tiny beast, chaotic neutral","Perception +5, Stealth +4","40 ft., climb 30 ft., fly 40' ft.",3 (-4),http://chisaipete.github.io/bestiary/creature/tressym,12 (+1)
"False Appearance.;; While the blight remains motionless, it is indistinguishable from a dead tree.",,,,,,,,,,,Siege Monster.;; The blight deals double damage to objects and structures.,,"Multiattack.;; The blight makes four attacks: two with its branches and two with its grasping roots, If it has a target grappled, the blight can also make a bite attack against the target as a bonus action.","Bite.;; Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 19 (3d8+6) piercing damage.","Branch.;; Melee Weapon Attack: +9 to hit, reach 15 ft., one target. Hit (3d6+6) bludgeoning damage.","Grasping Root.;; Melee Weapon Attack: +9 to hit, reach 15 ft., one creature not grappled by the blight. Hit: the target is grappled (escape DC 15). Until the grapple ends, the target takes 9 (1d6+6) bludgeoning damage at the start of each of its turns. The root has AC 15 and can be severed by dealing 6 slashing damage or more to it at once. Cutting the root doesn’t hurt the blight but ends the grapple.",,,,15 (natural armor),"7 (2,900 XP)",3 (-4),"blinded, deafened",20 (+5),,,10 (0),149 (13d12+65),6 (-2),understands Common and Druidic but doesn't speak,,Tree Blight,,blindsight 60 ft. (blind beyond this radius),"Huge plant, neutral evil",,30 ft.,23 (+6),http://chisaipete.github.io/bestiary/creature/tree-blight,10 (0)
"False Appearance.;; While the treant remains motionless, it is indistinguishable from a normal tree.",,,,,,,,,,,Siege Monster.;; The treant deals double damage to objects and structures.,,Multiattack.;; The treant makes two slam attacks.,"Slam.;; Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 16 (3d6 + 6) bludgeoning damage.","Rock.;; Ranged Weapon Attack: +10 to hit, range 60/180 ft., one target. Hit: 28 (4d10 + 6) bludgeoning damage.","Animate Trees (1/Day).;; The treant magically animates one or two trees it can see within 60 feet of it. These trees have the same statistics as a treant, except they have Intelligence and Charisma scores of 1, they can’t speak, and they have only the Slam action option. An animated tree acts as an ally of the treant. The tree remains animate for 1 day or until it dies; until the treant dies or is more than 120 feet from the tree; or until the treant takes a bonus action to turn it back into an inanimate tree. The tree then takes root if possible.",,,,16 (natural armor),"9 (5,000 XP)",12 (+1),,21 (+5),,"bludgeoning, piercing",8 (-1),138 (12d12+60),12 (+1),"Common, Druidic, Elvish, Sylvan",,Treant,,,"Huge plant, chaotic good",,30 ft.,23 (+6),http://chisaipete.github.io/bestiary/creature/treant,16 (+3)
